source,text,created_at,retweet_count,favorite_count,word_count,sentiment
Twitter for iPhone,Democrats don’t want to fix the loopholes at the Border.,Thu May 23 02:54:59 +0000 2019,17122,65898,11,-0.07537783614444091
Twitter for iPhone,They don’t want to do anything.,Thu May 23 02:54:59 +0000 2019,17122,65898,7,0
Twitter for iPhone,Open Borders and crime!,Thu May 23 02:54:59 +0000 2019,17122,65898,4,-0.375
Twitter for iPhone,Zero is getting done with the Democrats in charge of the House.,Thu May 23 02:31:52 +0000 2019,19162,79292,12,0
Twitter for iPhone,All they want to do is put the Mueller Report behind them and start all over again.,Thu May 23 02:31:52 +0000 2019,19162,79292,17,0
Twitter for iPhone,No Do-Overs!,Thu May 23 02:31:52 +0000 2019,19162,79292,3,0
Twitter for iPhone,"In a letter to her House colleagues, Nancy Pelosi said: “President Trump had a temper tantrum for us all to see.” This is not true.",Thu May 23 02:28:36 +0000 2019,26243,113590,25,-0.32
Twitter for iPhone,"I was purposely very polite and calm, much as I was minutes later with the press in the Rose Garden.",Thu May 23 02:28:36 +0000 2019,26243,113590,20,0.9682174342574089
Twitter for iPhone,Can be easily proven.,Thu May 23 02:28:36 +0000 2019,26243,113590,4,0.25
Twitter for iPhone,It is all such a lie!,Thu May 23 02:28:36 +0000 2019,26243,113590,6,-0.20412414523193154
Twitter for iPhone,I want to welcome you all to the @WhiteHouse as we award our very bravest law enforcement officers and firefighters our nation’s highest public safety award – The Medal of Valor...https://t.co/68EeQk8ZHr,Wed May 22 20:46:35 +0000 2019,15935,63964,36,0.6083333333333334
Twitter for iPhone,....,Wed May 22 17:02:23 +0000 2019,20370,89322,NA,0
Twitter for iPhone,"Democrat leadership is tearing the United States apart, but I will continue to set records for the American People – and Nancy, thank you so much for your prayers, I know you truly mean it!",Wed May 22 17:02:23 +0000 2019,20370,89322,34,0.3944467458277703
Twitter for iPhone,....,Wed May 22 17:01:22 +0000 2019,8453,29156,NA,0
Twitter for iPhone,But they really want a do-over!,Wed May 22 17:01:22 +0000 2019,8453,29156,7,0
Twitter for iPhone,You can’t investigate and legislate simultaneously - it just doesn’t work that way.,Wed May 22 17:01:22 +0000 2019,8453,29156,14,0.1336306209562122
Twitter for iPhone,You can’t go down two tracks at the same time.,Wed May 22 17:01:22 +0000 2019,8453,29156,11,0
Twitter for iPhone,"Let Chuck, Nancy, Jerry, Adam and all of the rest finish playing their games....",Wed May 22 17:01:22 +0000 2019,8453,29156,14,0
Twitter for iPhone,....,Wed May 22 17:01:22 +0000 2019,17007,83213,NA,0
Twitter for iPhone,"In the meantime, my Administration is achieving things that have never been done before, including unleashing perhaps the Greatest Economy in our Country’s history....",Wed May 22 17:01:22 +0000 2019,17007,83213,25,0.22000000000000003
Twitter for iPhone,So sad that Nancy Pelosi and Chuck Schumer will never be able to see or understand the great promise of our Country.,Wed May 22 17:01:21 +0000 2019,29806,127331,22,0.3731012536223182
Twitter for iPhone,"They can continue the Witch Hunt which has already cost $40M and been a tremendous waste of time and energy for everyone in America, or get back to work....",Wed May 22 17:01:21 +0000 2019,29806,127331,29,-0.09284766908852593
Twitter for iPhone,https://t.co/Oe8E5kk8OA,Wed May 22 16:57:35 +0000 2019,12700,39917,7,0
Twitter for iPhone,"As I have long been saying, and has now been proven out, this is a Witch Hunt against the Republican Party and myself, and it was the other side that caused the problem, not us!",Wed May 22 15:15:40 +0000 2019,22853,96028,35,-0.10987005311470716
Twitter for iPhone,..,Wed May 22 15:11:16 +0000 2019,13163,54713,NA,0
Twitter for iPhone,BETWEEN RUSSIA AND THE TRUMP CAMPAIGN.,Wed May 22 15:11:16 +0000 2019,13163,54713,6,-0.040824829046386304
Twitter for iPhone,"Mr. McGahn can be forgiven for declining the honor of appearing in Mr. Nadler’s pseudo-impeachment drama.”
 
Wall Street Journal Editorial Board
Today - May 21, 2019",Wed May 22 15:11:16 +0000 2019,13163,54713,25,0.019999999999999997
